eleTag,iNode,jNode
1,1,2
2,2,3
3,3,4
4,4,5
5,8,2
6,10,3
7,12,4
8,14,5
9,16,1
10,2,18
11,19,8
12,20,19
13,21,20
14,22,21
15,23,22
16,24,23
17,25,24
18,26,25
19,27,26
20,28,27
21,29,28
22,3,29
23,20,10
24,30,20
25,31,30
26,21,31
27,24,21
28,32,24
29,33,32
30,34,33
31,35,34
32,36,35
33,37,36
34,4,37
35,30,12
36,38,30
37,39,38
38,31,39
39,32,31
40,40,32
41,41,40
42,42,41
43,43,42
44,44,43
45,45,44
46,5,45
47,38,14
48,1,46
49,47,16
50,19,47
51,22,19
52,48,22
53,29,18
54,23,50
55,51,23
56,52,51
57,53,52
58,54,53
59,18,54
60,34,26
61,35,27
62,37,29
63,42,34
64,43,35
65,45,37
66,40,39
67,18,46
68,48,47
69,50,48
70,56,50
71,57,56
72,58,57
73,59,58
74,46,59
75,26,52
76,27,53
77,52,57
78,53,58
