nodeTag,x,y,z
1,-100.0,-76.604444,144.278761
2,-50.0,-76.604444,144.278761
3,0.0,-76.604444,144.278761
4,50.0,-76.604444,144.278761
5,100.0,-76.604444,144.278761
6,100.0,-76.604444,144.278761
7,-100.0,-76.604444,144.278761
8,-50.0,-0.000367,180.0
9,-50.0,-0.000367,180.0
10,0.0,-0.000367,180.0
11,0.0,-0.000367,180.0
12,50.0,-0.000367,180.0
13,50.0,-0.000367,180.0
14,100.0,-0.000367,180.0
15,100.0,-0.000367,180.0
16,-100.0,-0.000367,180.0
17,-100.0,-0.000367,180.0
18,-50.0,-100.0,80.0
19,-50.0,0.0,180.0
20,0.0,0.0,180.0
21,0.0,76.604444,144.278761
22,-50.0,76.604444,144.278761
23,-50.0,100.0,80.0
24,0.0,100.0,80.0
25,0.0,100.0,20.0
26,0.0,100.0,0.0
27,0.0,-100.0,0.0
28,0.0,-100.0,20.0
29,0.0,-100.0,80.0
30,50.0,0.0,180.0
31,50.0,76.604444,144.278761
32,50.0,100.0,80.0
33,50.0,100.0,20.0
34,50.0,100.0,0.0
35,50.0,-100.0,0.0
36,50.0,-100.0,20.0
37,50.0,-100.0,80.0
38,100.0,0.0,180.0
39,100.0,76.604444,144.278761
40,100.0,100.0,80.0
41,100.0,100.0,20.0
42,100.0,100.0,0.0
43,100.0,-100.0,0.0
44,100.0,-100.0,20.0
45,100.0,-100.0,80.0
46,-100.0,-100.0,80.0
47,-100.0,0.0,180.0
48,-100.0,76.604444,144.278761
49,-100.0,76.604444,144.278761
50,-100.0,100.0,80.0
51,-50.0,100.0,20.0
52,-50.0,100.0,0.0
53,-50.0,-100.0,0.0
54,-50.0,-100.0,20.0
55,100.0,76.604444,144.278761
56,-100.0,100.0,20.0
57,-100.0,100.0,0.0
58,-100.0,-100.0,0.0
59,-100.0,-100.0,20.0
