eleTag,iNode,jNode
1,1,2
2,3,2
3,4,3
4,4,5
5,1,5
6,3,1
7,6,3
8,6,7
9,8,7
10,8,2
11,9,2
12,9,10
13,10,11
14,12,11
15,12,13
16,1,13
17,4,1
18,14,4
19,14,15
20,16,15
21,16,17
22,4,17
23,6,4
24,3,7
25,8,3
26,9,8
27,5,14
28,5,13
29,18,13
30,18,12
31,1,18
32,6,19
33,6,20
34,20,16
35,7,19
36,8,21
37,22,8
38,22,23
39,23,21
40,10,21
41,10,24
42,21,24
43,21,9
44,9,11
45,11,18
46,18,9
47,2,18
48,25,12
49,13,25
50,13,26
51,27,15
52,28,27
53,28,29
54,29,30
55,26,30
56,16,27
57,16,31
58,32,31
59,33,32
60,19,33
61,15,17
62,29,15
63,27,29
64,27,34
65,35,34
66,36,35
67,37,36
68,32,37
69,7,22
70,38,7
71,39,38
72,40,39
73,37,40
74,14,29
75,14,26
76,25,26
77,26,5
78,26,29
79,6,17
80,20,32
81,17,20
82,20,19
83,21,22
84,41,23
85,41,40
86,40,42
87,36,42
88,23,24
89,23,39
90,33,39
91,30,25
92,43,27
93,43,35
94,35,42
95,42,37
96,33,37
97,34,28
98,30,28
99,16,43
100,20,31
101,38,33
102,22,38
103,34,43
104,31,36
105,43,31
106,39,37
107,38,23
108,39,41
109,17,14
110,19,32
111,19,38
112,41,24
113,43,36
114,36,32
