nodeTag,x,y,z
1,1385.640646,-800.0,1200.0
2,800.0,-1385.640646,1200.0
3,435.89,-754.983627,1800.0
4,871.78,0.0,1800.0
5,1600.0,0.0,1200.0
6,0.0,0.0,2000.0
7,-435.89,-754.983627,1800.0
8,0.0,-1600.0,1200.0
9,493.79568,-1842.870565,600.0
10,0.0,-2000.0,0.0
11,1000.0,-1732.050808,0.0
12,1732.050808,-1000.0,0.0
13,1842.870565,-493.79568,600.0
14,1385.640646,800.0,1200.0
15,800.0,1385.640646,1200.0
16,0.0,1600.0,1200.0
17,435.89,754.983627,1800.0
18,1349.074886,-1349.074886,600.0
19,-871.78,0.0,1800.0
20,-435.89,754.983627,1800.0
21,-493.79568,-1842.870565,600.0
22,-800.0,-1385.640646,1200.0
23,-1349.074886,-1349.074886,600.0
24,-1000.0,-1732.050808,0.0
25,2000.0,0.0,0.0
26,1842.870565,493.79568,600.0
27,493.79568,1842.870565,600.0
28,1000.0,1732.050808,0.0
29,1349.074886,1349.074886,600.0
30,1732.050808,1000.0,0.0
31,-800.0,1385.640646,1200.0
32,-1385.640646,800.0,1200.0
33,-1600.0,0.0,1200.0
34,0.0,2000.0,0.0
35,-1000.0,1732.050808,0.0
36,-1349.074886,1349.074886,600.0
37,-1842.870565,493.79568,600.0
38,-1385.640646,-800.0,1200.0
39,-1842.870565,-493.79568,600.0
40,-2000.0,0.0,0.0
41,-1732.050808,-1000.0,0.0
42,-1732.050808,1000.0,0.0
43,-493.79568,1842.870565,600.0
