nodeTag,x,y,z
1,83.516484,-14.726209,92.599334
2,80.344627,-21.528278,112.226846
3,77.269146,-28.123669,131.257986
4,74.240388,-34.618861,150.0
5,71.21163,-41.114054,168.742014
6,68.136148,-47.709445,187.773154
7,64.964292,-54.511513,207.400666
8,61.640153,-61.640153,227.970505
9,58.097348,-69.237723,249.893453
10,54.253179,-77.481569,273.681245
11,50.0,-86.60254,300.0
12,39.974418,-85.725416,273.681245
13,45.191714,-78.274345,249.893453
14,84.202014,-22.561862,72.029495
15,89.0103,-15.694918,50.106547
16,91.364539,-24.481054,26.318755
17,98.480775,-17.364818,0.0
18,94.227597,-8.243846,26.318755
19,90.383428,0.0,50.106547
20,86.840623,7.59757,72.029495
21,83.516484,14.726209,92.599334
22,80.344627,21.528278,112.226846
23,77.269146,28.123669,131.257986
24,74.240388,34.618861,150.0
25,71.21163,41.114054,168.742014
26,68.136148,47.709445,187.773154
27,64.964292,54.511513,207.400666
28,61.640153,61.640153,227.970505
29,58.097348,69.237723,249.893453
30,54.253179,77.481569,273.681245
31,50.0,86.60254,300.0
32,50.0,86.60254,300.0
33,79.690501,-29.00497,92.599334
34,84.93264,-30.912953,50.106547
35,93.969262,-34.202014,0.0
36,93.969262,-34.202014,0.0
37,75.385665,-35.152913,112.226846
38,79.00497,-36.840623,72.029495
39,85.725416,-39.974418,26.318755
40,78.274345,-45.191714,50.106547
41,77.481569,-54.253179,26.318755
42,86.60254,-50.0,0.0
43,71.21163,-41.114054,131.257986
44,73.443163,-42.40243,92.599334
45,71.4074,-50.0,72.029495
46,69.237723,-58.097348,50.106547
47,76.604444,-64.278761,0.0
48,76.604444,-64.278761,0.0
49,67.101007,-46.984631,150.0
50,68.136148,-47.709445,112.226846
51,64.964292,-54.511513,92.599334
52,61.640153,-61.640153,72.029495
53,66.883484,-66.883484,26.318755
54,62.990385,-52.855208,168.742014
55,62.990385,-52.855208,131.257986
56,58.816349,-58.816349,112.226846
57,54.511513,-64.964292,92.599334
58,58.097348,-69.237723,50.106547
59,64.278761,-76.604444,0.0
60,64.278761,-76.604444,0.0
61,58.816349,-58.816349,187.773154
62,57.922797,-57.922797,150.0
63,52.855208,-62.990385,131.257986
64,47.709445,-68.136148,112.226846
65,50.0,-71.4074,72.029495
66,54.253179,-77.481569,26.318755
67,54.511513,-64.964292,207.400666
68,52.855208,-62.990385,168.742014
69,46.984631,-67.101007,150.0
70,41.114054,-71.21163,131.257986
71,42.40243,-73.443163,92.599334
72,45.191714,-78.274345,50.106547
73,50.0,-86.60254,0.0
74,50.0,-86.60254,0.0
75,50.0,-71.4074,227.970505
76,47.709445,-68.136148,187.773154
77,41.114054,-71.21163,168.742014
78,34.618861,-74.240388,150.0
79,35.152913,-75.385665,112.226846
80,36.840623,-79.00497,72.029495
81,39.974418,-85.725416,26.318755
82,64.278761,-76.604444,300.0
83,64.278761,-76.604444,300.0
84,50.0,-86.60254,300.0
