eleTag,iNode,jNode
1,1,2
2,3,2
3,4,3
4,4,5
5,2,5
6,2,6
7,6,7
8,7,8
9,8,9
10,10,9
11,11,10
12,12,11
13,13,12
14,13,14
15,14,15
16,16,15
17,16,17
18,18,17
19,19,18
20,19,1
21,1,7
22,1,20
23,21,1
24,21,22
25,23,22
26,24,23
27,24,25
28,25,26
29,26,13
30,13,16
31,21,16
32,27,2
33,28,27
34,6,28
35,29,6
36,5,29
37,15,3
38,15,18
39,30,18
40,27,30
41,4,14
42,5,20
43,7,31
44,32,7
45,32,19
46,22,19
47,22,17
48,8,33
49,8,21
50,12,21
51,12,33
52,10,33
53,9,34
54,9,24
55,11,24
56,11,26
57,17,35
58,15,1
59,24,21
60,34,23
61,34,36
62,36,22
63,25,16
64,35,25
65,19,27
66,28,32
67,29,31
68,3,30
69,20,14
70,20,31
71,20,12
72,32,36
73,36,8
74,33,31
75,23,35
