nodeTag,x,y,z
1,0.0,0.0,200.0
2,0.0,0.0,300.0
3,0.0,100.0,300.0
4,100.0,100.0,300.0
5,100.0,0.0,300.0
6,0.0,-100.0,300.0
7,0.0,-100.0,200.0
8,0.0,-100.0,100.0
9,0.0,-100.0,0.0
10,100.0,-100.0,0.0
11,100.0,0.0,0.0
12,100.0,0.0,100.0
13,100.0,100.0,100.0
14,100.0,100.0,200.0
15,0.0,100.0,200.0
16,0.0,100.0,100.0
17,-100.0,100.0,100.0
18,-100.0,100.0,200.0
19,-100.0,0.0,200.0
20,100.0,0.0,200.0
21,0.0,0.0,100.0
22,-100.0,0.0,100.0
23,-100.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,100.0,0.0
26,100.0,100.0,0.0
27,-100.0,0.0,300.0
28,-100.0,-100.0,300.0
29,100.0,-100.0,300.0
30,-100.0,100.0,300.0
31,100.0,-100.0,200.0
32,-100.0,-100.0,200.0
33,100.0,-100.0,100.0
34,-100.0,-100.0,0.0
35,-100.0,100.0,0.0
36,-100.0,-100.0,100.0
